epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,179.509,0.6924,1.52986,1.05525,0.00333,1,0.02759,0.01021,1.96224,3.75114,1.91671,0.000493898,0.000493898,0.000493898
45,182.943,0.64758,1.17112,0.97963,0.00333,1,0.03008,0.00907,2.05943,3.80549,2.02851,0.000496672,0.000496672,0.000496672
46,186.304,0.4713,1.26948,0.94105,0.00333,1,0.03008,0.00907,2.05943,3.80549,2.02851,0.00049905,0.00049905,0.00049905
47,189.956,0.67389,1.26238,1.02183,0.00333,1,0.52833,0.16116,1.82561,3.61636,2.00118,0.000501032,0.000501032,0.000501032
48,193.55,0.61673,1.15951,0.93449,0.00333,1,0.52833,0.16116,1.82561,3.61636,2.00118,0.000502618,0.000502618,0.000502618
49,197.064,0.90867,2.1552,1.09947,0.00333,1,0.82833,0.18641,1.67249,3.74764,2.00042,0.000503808,0.000503808,0.000503808
50,200.454,0.80856,1.41328,1.02357,0.00333,1,0.82833,0.18641,1.67249,3.74764,2.00042,0.000504602,0.000504602,0.000504602
51,203.877,0.68826,1.39267,1.0103,0.00333,1,0.53346,0.19753,1.71424,3.62617,2.07679,0.000505,0.000505,0.000505
52,207.733,0.72112,1.79283,0.94235,0.00333,1,0.53346,0.19753,1.71424,3.62617,2.07679,0.000505002,0.000505002,0.000505002
53,211.143,0.68987,1.40636,0.97498,0.00333,1,0.53346,0.19753,1.71424,3.62617,2.07679,0.000504608,0.000504608,0.000504608
54,214.795,0.6606,1.30308,0.98529,0.00333,1,0.995,0.24176,1.8636,3.72114,2.12251,0.000503818,0.000503818,0.000503818
55,218.38,0.66003,1.25136,1.04956,0.00333,1,0.995,0.24176,1.8636,3.72114,2.12251,0.000502632,0.000502632,0.000502632
56,222.07,0.64062,1.49403,0.94504,0.00333,1,0.995,0.24176,1.8636,3.72114,2.12251,0.00050105,0.00050105,0.00050105
57,225.795,0.64585,1.42496,0.96149,0.00333,1,0.995,0.24996,1.82512,3.62588,1.95618,0.000499072,0.000499072,0.000499072
58,229.527,0.72355,1.49721,0.92629,0.00333,1,0.995,0.24996,1.82512,3.62588,1.95618,0.000496698,0.000496698,0.000496698
59,233.072,0.62087,1.30609,0.96444,0.00333,1,0.995,0.24996,1.82512,3.62588,1.95618,0.000493928,0.000493928,0.000493928
60,236.714,0.64761,1.54046,1.0328,0.00333,1,0.995,0.38348,1.584,3.47199,1.66502,0.000490762,0.000490762,0.000490762
61,240.15,0.71185,1.25555,1.01793,0.00333,1,0.995,0.38348,1.584,3.47199,1.66502,0.0004872,0.0004872,0.0004872
62,243.696,0.59178,1.327,0.9486,0.00333,1,0.995,0.38348,1.584,3.47199,1.66502,0.000483242,0.000483242,0.000483242
63,247.206,0.64754,1.33719,1.01139,0.00333,1,0.995,0.53063,1.36104,3.24155,1.51641,0.000478888,0.000478888,0.000478888
64,250.981,0.54043,1.11787,0.92389,0.00333,1,0.995,0.53063,1.36104,3.24155,1.51641,0.000474138,0.000474138,0.000474138
65,254.353,0.54361,1.02191,0.93554,0.00333,1,0.995,0.53063,1.36104,3.24155,1.51641,0.000468992,0.000468992,0.000468992
66,258.204,0.46993,1.04011,0.8303,0.01225,1,0.995,0.53095,1.15581,3.24136,1.44834,0.00046345,0.00046345,0.00046345
67,261.532,0.5336,1.41215,0.94689,0.01225,1,0.995,0.53095,1.15581,3.24136,1.44834,0.000457512,0.000457512,0.000457512
68,265.224,0.50832,1.12267,0.91761,0.01225,1,0.995,0.53095,1.15581,3.24136,1.44834,0.000451178,0.000451178,0.000451178
69,268.961,0.57022,1.23792,0.94248,0.18175,1,0.995,0.47352,1.28867,3.14948,1.52681,0.000444448,0.000444448,0.000444448
70,272.736,0.52208,1.20475,0.9287,0.18175,1,0.995,0.47352,1.28867,3.14948,1.52681,0.000437322,0.000437322,0.000437322
71,276.515,0.4272,0.94942,0.8649,0.18175,1,0.995,0.47352,1.28867,3.14948,1.52681,0.0004298,0.0004298,0.0004298
72,280.383,0.59238,1.04774,0.93539,0.01385,1,0.995,0.44954,1.30883,3.16885,1.58226,0.000421882,0.000421882,0.000421882
73,283.97,0.53206,1.18887,0.94748,0.01385,1,0.995,0.44954,1.30883,3.16885,1.58226,0.000413568,0.000413568,0.000413568
74,287.771,0.46047,1.17914,0.9029,0.01385,1,0.995,0.44954,1.30883,3.16885,1.58226,0.000404858,0.000404858,0.000404858
75,291.386,0.64775,1.18325,0.97985,0.03608,1,0.745,0.36943,1.5269,3.33416,1.68761,0.000395752,0.000395752,0.000395752
76,294.901,0.53509,1.1655,0.90231,0.03608,1,0.745,0.36943,1.5269,3.33416,1.68761,0.00038625,0.00038625,0.00038625
77,298.517,0.56764,1.01713,0.93855,0.03608,1,0.745,0.36943,1.5269,3.33416,1.68761,0.000376352,0.000376352,0.000376352
78,302.173,0.68145,1.28781,1.00883,0.3802,0.5,0.745,0.39908,1.42927,3.33865,1.69311,0.000366058,0.000366058,0.000366058
79,305.688,0.54613,1.20157,0.96549,0.3802,0.5,0.745,0.39908,1.42927,3.33865,1.69311,0.000355368,0.000355368,0.000355368
80,309.208,0.46899,0.9122,0.8276,0.3802,0.5,0.745,0.39908,1.42927,3.33865,1.69311,0.000344282,0.000344282,0.000344282
81,312.766,0.4375,1.04786,0.87491,0.5899,0.5,0.745,0.4478,1.41539,3.13909,1.59203,0.0003328,0.0003328,0.0003328
82,316.141,0.40634,1.05532,0.82679,0.5899,0.5,0.745,0.4478,1.41539,3.13909,1.59203,0.000320922,0.000320922,0.000320922
83,319.668,0.44973,1.30187,0.8429,0.5899,0.5,0.745,0.4478,1.41539,3.13909,1.59203,0.000308648,0.000308648,0.000308648
84,323.191,0.55874,1.2976,0.91296,0.69025,0.5,0.695,0.54667,1.28878,3.05711,1.5639,0.000295978,0.000295978,0.000295978
85,326.721,0.41997,0.94041,0.84492,0.69025,0.5,0.695,0.54667,1.28878,3.05711,1.5639,0.000282912,0.000282912,0.000282912
86,330.219,0.51157,1.24707,0.86898,0.69025,0.5,0.695,0.54667,1.28878,3.05711,1.5639,0.00026945,0.00026945,0.00026945
87,333.769,0.48153,1.20722,0.91281,0.69025,0.5,0.695,0.54667,1.28878,3.05711,1.5639,0.000255592,0.000255592,0.000255592
